file,language,script,foreign_script_pct,long_outlier_pct,top20_long_pct,punct_char_pct,program_pct,corrupted_pct,corrupted_freq_pct,eng_stopwords,long_threshold,top20_threshold,total_types,total_frequency
kan_Knda.csv,kan,Knda,5.3701,0.006,20.0,0.0219,0.0871,5.3745,1.0142,14,27.0,4.0,480030,193990194
kat_Geor.csv,kat,Geor,3.7968,0.0386,5.0,0.0196,0.0212,3.8371,1.1765,14,23.0,8.2,235515,638155270
kaz_Cyrl.csv,kaz,Cyrl,2.4239,0.0823,5.0,0.0861,0.1108,2.5638,0.8994,11,23.0,10.5,161555,430054219
khm_Khmr.csv,khm,Khmr,12.6174,1.2277,15.0,0.3336,0.8623,13.7428,15.1657,15,108.0,3.4,1611501,9788674
kin_Latn.csv,kin,Latn,0.0124,0.0697,0.0,0.0505,0.0786,0.1427,0.0219,14,19.0,7.6,89004,12480325
kir_Cyrl.csv,kir,Cyrl,2.5605,0.1633,0.0,0.0306,0.0602,2.7561,0.639,11,19.0,8.0,121224,65459958
kor_Hang.csv,kor,Hang,12.3159,3.7183,5.0,0.4008,0.3623,13.5278,4.3931,15,8.0,3.5,2228373,90847065
kur_Latn.csv,kur,Latn,0.0787,0.0945,20.0,0.0651,0.0926,0.2222,0.0209,15,17.0,2.0,107993,25475296
lat_Latn.csv,lat,Latn,0.1285,0.1419,0.0,0.1702,0.2699,0.4448,0.2029,15,19.0,5.1,215617,39336866
lav_Latn.csv,lav,Latn,0.0035,0.0052,0.0,0.0118,0.0226,0.0313,0.0089,3,22.0,4.5,57427,9616447
lim_Latn.csv,lim,Latn,0.0339,0.1137,0.0,0.0792,0.1047,0.2478,0.049,14,22.0,5.1,132792,14906579
lit_Latn.csv,lit,Latn,0.0264,0.0429,0.0,0.0581,0.0363,0.0989,0.0186,15,19.0,5.1,151592,307873215
lmo_Latn.csv,lmo,Latn,0.0877,0.1521,5.0,0.1486,0.1563,0.3539,0.0901,14,21.0,4.5,94664,10282232
ltz_Latn.csv,ltz,Latn,0.6049,5.906,0.0,2.869,5.3517,7.4564,1.1049,15,31.0,4.5,908941,237721917
lug_Latn.csv,lug,Latn,0.0395,0.0827,15.0,0.0615,0.0508,0.16,0.0255,15,23.0,5.1,184979,9483047
lus_Latn.csv,lus,Latn,0.0,0.017,0.0,0.0284,0.017,0.0341,0.002,8,17.0,5.1,11747,6148404
lvs_Latn.csv,lvs,Latn,0.1796,0.0349,0.0,0.0213,0.017,0.2315,0.0422,12,22.0,7.0,100203,8880885
mal_Mlym.csv,mal,Mlym,5.3674,0.0032,0.0,0.0543,0.1917,5.3692,1.3147,15,37.0,10.9,1820187,158925439
mar_Deva.csv,mar,Deva,1.6711,0.017,0.0,0.0192,0.0189,1.6939,0.2563,12,22.0,7.0,153312,261630443
min_Latn.csv,min,Latn,0.0075,0.0679,0.0,0.04,0.0679,0.0906,0.0164,12,22.0,11.9,26493,11638575
mkd_Cyrl.csv,mkd,Cyrl,2.7074,0.013,25.0,0.0097,0.0217,2.7247,0.5003,6,22.0,2.6,46170,736140290
mlg_Latn.csv,mlg,Latn,0.1392,0.3853,0.0,0.1923,0.8281,1.3138,0.2213,15,22.0,7.0,95521,96352451
mlt_Latn.csv,mlt,Latn,0.3127,1.1058,0.0,2.8606,6.8315,7.4638,2.2595,15,29.0,7.0,1203535,454445613
mon_Cyrl.csv,mon,Cyrl,5.0392,0.0674,0.0,0.0879,0.0531,5.1195,1.0274,12,18.0,8.4,69694,148361900
mri_Latn.csv,mri,Latn,0.0352,0.3101,0.0,0.2628,0.0912,0.3935,0.0845,15,17.0,4.5,76749,72456675
msa_Latn.csv,msa,Latn,0.1793,0.0324,0.0,0.0224,0.0423,0.2515,0.0314,15,21.0,6.9,40163,106871111
mwl_Latn.csv,mwl,Latn,0.0507,0.0119,0.0,0.0374,0.0358,0.0985,0.0206,9,22.0,4.5,33516,5924394
mya_Mymr.csv,mya,Mymr,2.9206,2.5411,10.0,0.3286,1.6777,6.7154,11.0014,15,48.0,7.0,6013649,18293369
nan_Latn.csv,nan,Latn,0.0845,1.6386,5.0,0.0149,0.0041,1.7272,0.1154,12,22.0,11.5,73355,11081765
nds_Latn.csv,nds,Latn,0.0443,0.3571,0.0,0.0285,0.0938,0.4935,0.069,15,22.0,4.5,115101,22220060
nep_Deva.csv,nep,Deva,3.0813,0.1214,0.0,0.027,0.0715,3.2177,0.5817,14,18.0,7.0,166360,66009190
new_Deva.csv,new,Deva,2.416,0.2669,0.0,0.0879,0.0713,2.7073,0.2633,7,17.0,10.5,49090,3139711
nld_Latn.csv,nld,Latn,0.0063,0.1256,0.0,0.0209,0.0753,0.2072,0.0218,11,22.0,4.5,47786,2212143445
nno_Latn.csv,nno,Latn,0.0641,0.0214,0.0,0.0315,0.0505,0.1343,0.0166,15,26.0,4.5,116915,101948236
nob_Latn.csv,nob,Latn,0.0051,0.0308,0.0,0.0879,0.6581,0.6928,0.0519,15,26.0,4.5,77946,1064765114
nor_Latn.csv,nor,Latn,0.0382,0.1174,0.0,0.0275,0.0464,0.1979,0.0243,15,22.0,4.5,73282,271235821
nso_Latn.csv,nso,Latn,0.0,0.0599,15.0,0.0385,0.0514,0.1113,0.0123,9,18.0,2.0,11677,4343013
nya_Latn.csv,nya,Latn,0.2939,0.1575,15.0,0.2127,0.2283,0.6102,0.0935,15,26.0,4.5,384131,39594195
oci_Latn.csv,oci,Latn,0.0467,0.1568,0.0,0.0846,0.124,0.3107,0.0541,15,18.0,4.5,137116,39288992
ori_Orya.csv,ori,Orya,10.2315,0.136,0.0,0.0236,0.0823,10.3259,4.3626,11,18.0,7.0,91169,11799762
orm_Latn.csv,orm,Latn,0.2266,0.099,5.0,0.0475,0.0365,0.3603,0.0447,14,19.0,8.0,115175,15164144
ory_Orya.csv,ory,Orya,6.7288,0.0013,0.0,0.0131,0.0052,6.7288,3.9456,1,21.0,5.5,76492,83740889
pam_Latn.csv,pam,Latn,0.2478,0.9639,0.0,0.254,1.3781,2.2134,0.3052,15,18.0,7.0,465216,9181141
pan_Guru.csv,pan,Guru,4.2342,0.1214,0.0,0.031,0.0211,4.2764,3.6445,1,12.0,4.5,18941,336630146
pap_Latn.csv,pap,Latn,0.0,0.0,0.0,0.0174,0.0681,0.0681,0.0054,4,21.0,4.5,8812,8900527
pcm_Latn.csv,pcm,Latn,0.0,0.0447,10.0,0.2671,0.1117,0.1564,0.0109,15,16.0,7.6,4477,8307460
pes_Arab.csv,pes,Arab,1.3763,0.003,0.0,0.0084,0.0183,1.3855,0.1629,2,16.0,4.5,32841,756486902
plt_Latn.csv,plt,Latn,0.0274,0.192,5.0,0.0107,0.0,0.2194,0.8777,1,22.0,12.5,14585,4411898
pms_Latn.csv,pms,Latn,0.0638,0.1688,5.0,0.1754,0.0375,0.2663,0.1332,10,17.0,12.6,26657,5463545
pnb_Arab.csv,pnb,Arab,1.5236,0.0703,0.0,0.014,0.0084,1.5854,0.2715,4,12.0,7.0,35574,33941423
pol_Latn.csv,pol,Latn,0.0227,0.0202,5.0,0.0264,0.0177,0.0598,0.0141,13,22.0,4.9,118787,763722362
por_Latn.csv,por,Latn,0.0,0.0522,0.0,0.0243,0.0261,0.0696,0.007,5,18.0,4.5,23005,2180998593
pus_Arab.csv,pus,Arab,7.5348,0.183,20.0,0.0263,0.0297,7.6103,1.2724,4,12.0,2.0,43717,18190674
roh_Latn.csv,roh,Latn,0.0,0.004,0.0,0.0275,0.0356,0.0396,0.0076,5,22.0,4.5,25279,10770305
ron_Latn.csv,ron,Latn,0.0045,0.0542,25.0,0.0106,0.0203,0.0791,0.0093,7,18.0,2.6,44259,753681691
rus_Cyrl.csv,rus,Cyrl,3.2338,0.0592,0.0,0.0146,0.0165,3.299,0.7529,7,23.0,4.1,133557,4584050909
sah_Cyrl.csv,sah,Cyrl,1.8213,0.1255,0.0,0.0838,0.6093,2.5352,0.8445,5,23.0,6.9,152966,13986704
scn_Latn.csv,scn,Latn,0.1628,0.037,10.0,0.0629,0.0879,0.2835,0.0481,15,22.0,2.4,116061,5572845
sco_Latn.csv,sco,Latn,0.2161,0.2741,0.0,0.0872,0.1647,0.6175,0.076,15,17.0,4.5,106884,11657065
sin_Sinh.csv,sin,Sinh,8.1738,0.0187,0.0,0.0332,0.1245,8.18,1.9264,14,21.0,4.5,112457,102173575
slk_Latn.csv,slk,Latn,0.02,0.0118,10.0,0.0457,0.0273,0.0537,0.0107,15,22.0,3.0,109848,290049788
slv_Latn.csv,slv,Latn,0.0209,0.0369,25.0,0.0217,0.0148,0.0689,0.0096,13,18.0,2.6,81280,291828464
sme_Latn.csv,sme,Latn,0.079,0.0573,5.0,0.0635,0.1233,0.2561,0.0471,14,31.0,5.9,115169,2764460
smo_Latn.csv,smo,Latn,0.0827,0.2938,10.0,0.1204,0.1341,0.4507,0.0378,15,17.0,4.5,35057,36281636
sna_Latn.csv,sna,Latn,1.1722,0.9136,10.0,0.1838,0.2978,2.2312,0.4775,15,23.0,5.1,634717,57964944
snd_Arab.csv,snd,Arab,2.2021,0.1323,0.0,0.06,0.0085,2.3088,0.386,6,12.0,4.5,23432,6950430
som_Latn.csv,som,Latn,0.5298,2.2086,5.0,0.9252,2.0308,3.2077,0.6752,15,22.0,4.5,305985,109252079
sot_Latn.csv,sot,Latn,0.0822,0.0285,15.0,0.0866,0.0537,0.1549,0.0148,15,21.0,2.0,31633,39009499
spa_Latn.csv,spa,Latn,0.0,0.0,0.0,0.0065,0.0132,0.0132,0.0021,4,22.0,4.5,22685,4491584733
sqi_Latn.csv,sqi,Latn,0.0116,0.0326,5.0,0.016,0.0303,0.0722,0.0128,14,18.0,4.5,42951,264377424
srd_Latn.csv,srd,Latn,0.1212,0.0282,0.0,0.0507,0.11,0.2495,0.0306,14,22.0,4.5,70932,3827262
srp_Latn.csv,srp,Latn,0.142,0.0,15.0,0.0051,0.0186,0.1606,0.0364,11,18.0,2.0,59145,172075109
sun_Latn.csv,sun,Latn,0.2584,0.2739,0.0,0.1438,0.3147,0.758,0.0875,15,21.0,9.5,174153,56132718
swa_Latn.csv,swa,Latn,0.0584,0.0049,0.0,0.021,0.0486,0.1095,0.0134,14,22.0,7.6,41114,107510540
swe_Latn.csv,swe,Latn,0.0024,0.0118,0.0,0.0288,0.0249,0.0391,0.0082,13,26.0,4.5,84450,1613460301
swh_Latn.csv,swh,Latn,0.0,0.0039,0.0,0.0055,0.0157,0.0157,0.0018,12,22.0,12.0,25480,27905186
tam_Taml.csv,tam,Taml,4.8451,0.0251,5.0,0.0614,0.3623,5.1549,1.5095,15,28.0,7.5,831351,108473417
tat_Cyrl.csv,tat,Cyrl,0.715,0.0086,0.0,0.1959,0.0302,0.743,0.1779,1,22.0,8.4,92866,298422807
tel_Telu.csv,tel,Telu,3.6352,0.0215,0.0,0.0285,0.1309,3.6475,0.7108,12,23.0,8.4,446905,28601531
tgk_Cyrl.csv,tgk,Cyrl,3.6077,0.0586,10.0,0.0441,0.0745,3.7049,0.798,13,22.0,7.0,220085,362561788
tgl_Latn.csv,tgl,Latn,0.0055,0.0604,0.0,0.02,0.0357,0.096,0.009,15,18.0,7.0,36451,148346513
tha_Thai.csv,tha,Thai,5.3554,0.1036,0.0,0.0502,0.1514,5.5706,1.2074,4,20.0,4.5,12548,243687383
tir_Ethi.csv,tir,Ethi,2.0091,0.1074,20.0,0.1193,0.0561,2.0779,0.8039,5,12.0,2.0,126571,6224994
tsn_Latn.csv,tsn,Latn,0.0128,0.1199,15.0,0.0361,0.0385,0.1669,0.0154,14,18.0,2.0,23362,7834774
tso_Latn.csv,tso,Latn,0.0,0.2478,10.0,0.0527,0.1531,0.2769,0.0317,15,18.0,4.5,13721,2753795
tuk_Latn.csv,tuk,Latn,0.0787,0.0417,5.0,0.0256,0.0417,0.1589,0.0478,11,23.0,8.0,64804,10175459
tur_Latn.csv,tur,Latn,0.0039,0.011,0.0,0.0142,0.0367,0.0503,0.008,14,23.0,7.0,155131,1510230359
uig_Arab.csv,uig,Arab,2.1726,0.0777,0.0,0.0458,0.0511,2.2635,0.7288,3,23.0,8.0,228942,6446662
ukr_Cyrl.csv,ukr,Cyrl,1.9777,0.5161,5.0,0.0206,0.0335,2.5181,0.5335,6,19.0,6.0,131368,2904328925
urd_Arab.csv,urd,Arab,1.2836,0.072,0.0,0.0061,0.0,1.3294,0.1662,4,12.0,4.5,15270,352474620
uzb_Latn.csv,uzb,Latn,0.8525,0.082,0.0,0.1732,0.1348,1.0642,0.3603,15,23.0,12.0,178064,73864799
uzn_Cyrl.csv,uzn,Cyrl,1.7214,0.0058,5.0,0.0169,0.0498,1.7671,0.4598,3,23.0,8.4,120481,111942906
vec_Latn.csv,vec,Latn,0.0373,0.1086,15.0,0.0415,0.0679,0.1923,0.1194,13,18.0,2.0,88411,11319061
vie_Latn.csv,vie,Latn,0.0,0.5915,0.0,0.0,0.0,0.5915,0.0748,1,7.0,5.9,2367,1999645863
vol_Latn.csv,vol,Latn,0.3708,0.3972,0.0,0.546,0.0,0.768,0.1927,2,17.0,14.5,3776,8306915
war_Latn.csv,war,Latn,0.0,0.0044,0.0,0.0397,0.2044,0.2088,0.0242,10,23.0,13.0,45508,66225199
wln_Latn.csv,wln,Latn,0.0054,0.0271,0.0,0.0587,0.3709,0.4035,0.0484,7,22.0,14.5,55265,20026101
wuu_Hani.csv,wuu,Hani,8.6229,2.7214,10.0,0.0007,0.003,8.8732,4.5194,8,6.0,1.0,99874,4610282
xho_Latn.csv,xho,Latn,0.1326,0.4087,0.0,0.1866,0.2399,0.7299,0.2098,15,23.0,7.6,527338,27061933
yid_Hebr.csv,yid,Hebr,3.3468,0.02,0.0,0.0991,0.0581,3.3777,0.732,15,25.0,4.5,55097,7923655
yor_Latn.csv,yor,Latn,0.153,0.2255,0.0,0.0806,0.1157,0.4373,0.0499,15,16.0,4.5,50993,38311197
yue_Hani.csv,yue,Hani,8.4422,2.2385,5.0,0.0012,0.0027,8.4594,2.1757,12,6.0,1.0,110386,12065020
zsm_Latn.csv,zsm,Latn,0.017,0.0127,0.0,0.0151,0.0212,0.0509,0.0232,11,21.0,8.0,23565,12136892
zul_Latn.csv,zul,Latn,0.2103,4.6611,0.0,0.392,0.8102,5.3154,0.6579,15,28.0,8.0,2001419,86335128
